,Threshold,f1_score,recall_score,precision_scores,accuracy_scores,True Positive,False Negative,False Positive
0,0.0,0.11231713072203871,1.0,0.0595,0.0595,238,0,3762
1,0.05,0.11242324043457723,1.0,0.059559559559559556,0.0605,238,0,3758
2,0.1,0.11259541984732824,0.9915966386554622,0.05968639352554375,0.07,236,2,3718
3,0.15000000000000002,0.11770649153826722,0.9789915966386554,0.06261757592045149,0.12675,233,5,3488
4,0.2,0.12733873219771014,0.957983193277311,0.06820221358061622,0.21875,228,10,3115
5,0.25,0.13647798742138365,0.9117647058823529,0.07375934738273283,0.3135,217,21,2725
6,0.30000000000000004,0.1446808510638298,0.8571428571428571,0.07900852052672347,0.397,204,34,2378
7,0.35000000000000003,0.15312131919905772,0.819327731092437,0.0844521437851884,0.46075,195,43,2114
8,0.4,0.16290393979637005,0.773109243697479,0.09104403760514597,0.52725,184,54,1837
9,0.45,0.17027707808564232,0.7100840336134454,0.09673726388093876,0.58825,169,69,1578
10,0.5,0.17146212566059893,0.6134453781512605,0.09965870307167235,0.64725,146,92,1319
11,0.55,0.16865776528460996,0.5042016806722689,0.10126582278481013,0.70425,120,118,1065
12,0.6000000000000001,0.18727915194346292,0.44537815126050423,0.1185682326621924,0.77,106,132,788
13,0.65,0.2020665901262916,0.3697478991596639,0.13902053712480253,0.82625,88,150,545
14,0.7000000000000001,0.21879815100154085,0.29831932773109243,0.17274939172749393,0.87325,71,167,340
15,0.75,0.20689655172413793,0.20168067226890757,0.21238938053097345,0.908,48,190,178
16,0.8,0.1035598705501618,0.06722689075630252,0.22535211267605634,0.93075,16,222,55
17,0.8500000000000001,0.016129032258064516,0.008403361344537815,0.2,0.939,2,236,8
18,0.9,0.0,0.0,0.0,0.9405,0,238,0
19,0.9500000000000001,0.0,0.0,0.0,0.9405,0,238,0
20,1.0,0.0,0.0,0.0,0.9405,0,238,0
21,1.05,0.0,0.0,0.0,0.9405,0,238,0
22,1.1,0.0,0.0,0.0,0.9405,0,238,0
23,1.1500000000000001,0.0,0.0,0.0,0.9405,0,238,0
24,1.2000000000000002,0.0,0.0,0.0,0.9405,0,238,0
25,1.25,0.0,0.0,0.0,0.9405,0,238,0
26,1.3,0.0,0.0,0.0,0.9405,0,238,0
27,1.35,0.0,0.0,0.0,0.9405,0,238,0
28,1.4000000000000001,0.0,0.0,0.0,0.9405,0,238,0
29,1.4500000000000002,0.0,0.0,0.0,0.9405,0,238,0
30,1.5,0.0,0.0,0.0,0.9405,0,238,0
31,1.55,0.0,0.0,0.0,0.9405,0,238,0
32,1.6,0.0,0.0,0.0,0.9405,0,238,0
33,1.6500000000000001,0.0,0.0,0.0,0.9405,0,238,0
34,1.7000000000000002,0.0,0.0,0.0,0.9405,0,238,0
35,1.75,0.0,0.0,0.0,0.9405,0,238,0
36,1.8,0.0,0.0,0.0,0.9405,0,238,0
37,1.85,0.0,0.0,0.0,0.9405,0,238,0
38,1.9000000000000001,0.0,0.0,0.0,0.9405,0,238,0
39,1.9500000000000002,0.0,0.0,0.0,0.9405,0,238,0
40,2.0,0.0,0.0,0.0,0.9405,0,238,0
41,2.0500000000000003,0.0,0.0,0.0,0.9405,0,238,0
42,2.1,0.0,0.0,0.0,0.9405,0,238,0
43,2.15,0.0,0.0,0.0,0.9405,0,238,0
44,2.2,0.0,0.0,0.0,0.9405,0,238,0
45,2.25,0.0,0.0,0.0,0.9405,0,238,0
46,2.3000000000000003,0.0,0.0,0.0,0.9405,0,238,0
47,2.35,0.0,0.0,0.0,0.9405,0,238,0
48,2.4000000000000004,0.0,0.0,0.0,0.9405,0,238,0
49,2.45,0.0,0.0,0.0,0.9405,0,238,0
50,2.5,0.0,0.0,0.0,0.9405,0,238,0
51,2.5500000000000003,0.0,0.0,0.0,0.9405,0,238,0
52,2.6,0.0,0.0,0.0,0.9405,0,238,0
53,2.6500000000000004,0.0,0.0,0.0,0.9405,0,238,0
54,2.7,0.0,0.0,0.0,0.9405,0,238,0
55,2.75,0.0,0.0,0.0,0.9405,0,238,0
56,2.8000000000000003,0.0,0.0,0.0,0.9405,0,238,0
57,2.85,0.0,0.0,0.0,0.9405,0,238,0
58,2.9000000000000004,0.0,0.0,0.0,0.9405,0,238,0
59,2.95,0.0,0.0,0.0,0.9405,0,238,0
60,3.0,0.0,0.0,0.0,0.9405,0,238,0
61,3.0500000000000003,0.0,0.0,0.0,0.9405,0,238,0
62,3.1,0.0,0.0,0.0,0.9405,0,238,0
63,3.1500000000000004,0.0,0.0,0.0,0.9405,0,238,0
64,3.2,0.0,0.0,0.0,0.9405,0,238,0
65,3.25,0.0,0.0,0.0,0.9405,0,238,0
66,3.3000000000000003,0.0,0.0,0.0,0.9405,0,238,0
67,3.35,0.0,0.0,0.0,0.9405,0,238,0
68,3.4000000000000004,0.0,0.0,0.0,0.9405,0,238,0
69,3.45,0.0,0.0,0.0,0.9405,0,238,0
70,3.5,0.0,0.0,0.0,0.9405,0,238,0
71,3.5500000000000003,0.0,0.0,0.0,0.9405,0,238,0
72,3.6,0.0,0.0,0.0,0.9405,0,238,0
73,3.6500000000000004,0.0,0.0,0.0,0.9405,0,238,0
74,3.7,0.0,0.0,0.0,0.9405,0,238,0
75,3.75,0.0,0.0,0.0,0.9405,0,238,0
76,3.8000000000000003,0.0,0.0,0.0,0.9405,0,238,0
77,3.85,0.0,0.0,0.0,0.9405,0,238,0
78,3.9000000000000004,0.0,0.0,0.0,0.9405,0,238,0
79,3.95,0.0,0.0,0.0,0.9405,0,238,0
80,4.0,0.0,0.0,0.0,0.9405,0,238,0
81,4.05,0.0,0.0,0.0,0.9405,0,238,0
82,4.1000000000000005,0.0,0.0,0.0,0.9405,0,238,0
83,4.15,0.0,0.0,0.0,0.9405,0,238,0
84,4.2,0.0,0.0,0.0,0.9405,0,238,0
85,4.25,0.0,0.0,0.0,0.9405,0,238,0
86,4.3,0.0,0.0,0.0,0.9405,0,238,0
87,4.3500000000000005,0.0,0.0,0.0,0.9405,0,238,0
88,4.4,0.0,0.0,0.0,0.9405,0,238,0
89,4.45,0.0,0.0,0.0,0.9405,0,238,0
90,4.5,0.0,0.0,0.0,0.9405,0,238,0
91,4.55,0.0,0.0,0.0,0.9405,0,238,0
92,4.6000000000000005,0.0,0.0,0.0,0.9405,0,238,0
93,4.65,0.0,0.0,0.0,0.9405,0,238,0
94,4.7,0.0,0.0,0.0,0.9405,0,238,0
95,4.75,0.0,0.0,0.0,0.9405,0,238,0
96,4.800000000000001,0.0,0.0,0.0,0.9405,0,238,0
97,4.8500000000000005,0.0,0.0,0.0,0.9405,0,238,0
98,4.9,0.0,0.0,0.0,0.9405,0,238,0
99,4.95,0.0,0.0,0.0,0.9405,0,238,0
100,5.0,0.0,0.0,0.0,0.9405,0,238,0
101,5.050000000000001,0.0,0.0,0.0,0.9405,0,238,0
102,5.1000000000000005,0.0,0.0,0.0,0.9405,0,238,0
103,5.15,0.0,0.0,0.0,0.9405,0,238,0
104,5.2,0.0,0.0,0.0,0.9405,0,238,0
105,5.25,0.0,0.0,0.0,0.9405,0,238,0
106,5.300000000000001,0.0,0.0,0.0,0.9405,0,238,0
107,5.3500000000000005,0.0,0.0,0.0,0.9405,0,238,0
108,5.4,0.0,0.0,0.0,0.9405,0,238,0
109,5.45,0.0,0.0,0.0,0.9405,0,238,0
110,5.5,0.0,0.0,0.0,0.9405,0,238,0
111,5.550000000000001,0.0,0.0,0.0,0.9405,0,238,0
112,5.6000000000000005,0.0,0.0,0.0,0.9405,0,238,0
113,5.65,0.0,0.0,0.0,0.9405,0,238,0
114,5.7,0.0,0.0,0.0,0.9405,0,238,0
115,5.75,0.0,0.0,0.0,0.9405,0,238,0
116,5.800000000000001,0.0,0.0,0.0,0.9405,0,238,0
117,5.8500000000000005,0.0,0.0,0.0,0.9405,0,238,0
118,5.9,0.0,0.0,0.0,0.9405,0,238,0
119,5.95,0.0,0.0,0.0,0.9405,0,238,0
120,6.0,0.0,0.0,0.0,0.9405,0,238,0
121,6.050000000000001,0.0,0.0,0.0,0.9405,0,238,0
122,6.1000000000000005,0.0,0.0,0.0,0.9405,0,238,0
123,6.15,0.0,0.0,0.0,0.9405,0,238,0
124,6.2,0.0,0.0,0.0,0.9405,0,238,0
125,6.25,0.0,0.0,0.0,0.9405,0,238,0
126,6.300000000000001,0.0,0.0,0.0,0.9405,0,238,0
127,6.3500000000000005,0.0,0.0,0.0,0.9405,0,238,0
128,6.4,0.0,0.0,0.0,0.9405,0,238,0
129,6.45,0.0,0.0,0.0,0.9405,0,238,0
130,6.5,0.0,0.0,0.0,0.9405,0,238,0
131,6.550000000000001,0.0,0.0,0.0,0.9405,0,238,0
132,6.6000000000000005,0.0,0.0,0.0,0.9405,0,238,0
133,6.65,0.0,0.0,0.0,0.9405,0,238,0
134,6.7,0.0,0.0,0.0,0.9405,0,238,0
135,6.75,0.0,0.0,0.0,0.9405,0,238,0
136,6.800000000000001,0.0,0.0,0.0,0.9405,0,238,0
137,6.8500000000000005,0.0,0.0,0.0,0.9405,0,238,0
138,6.9,0.0,0.0,0.0,0.9405,0,238,0
139,6.95,0.0,0.0,0.0,0.9405,0,238,0
140,7.0,0.0,0.0,0.0,0.9405,0,238,0
141,7.050000000000001,0.0,0.0,0.0,0.9405,0,238,0
142,7.1000000000000005,0.0,0.0,0.0,0.9405,0,238,0
143,7.15,0.0,0.0,0.0,0.9405,0,238,0
144,7.2,0.0,0.0,0.0,0.9405,0,238,0
145,7.25,0.0,0.0,0.0,0.9405,0,238,0
146,7.300000000000001,0.0,0.0,0.0,0.9405,0,238,0
147,7.3500000000000005,0.0,0.0,0.0,0.9405,0,238,0
148,7.4,0.0,0.0,0.0,0.9405,0,238,0
149,7.45,0.0,0.0,0.0,0.9405,0,238,0
150,7.5,0.0,0.0,0.0,0.9405,0,238,0
151,7.550000000000001,0.0,0.0,0.0,0.9405,0,238,0
152,7.6000000000000005,0.0,0.0,0.0,0.9405,0,238,0
153,7.65,0.0,0.0,0.0,0.9405,0,238,0
154,7.7,0.0,0.0,0.0,0.9405,0,238,0
155,7.75,0.0,0.0,0.0,0.9405,0,238,0
156,7.800000000000001,0.0,0.0,0.0,0.9405,0,238,0
157,7.8500000000000005,0.0,0.0,0.0,0.9405,0,238,0
158,7.9,0.0,0.0,0.0,0.9405,0,238,0
159,7.95,0.0,0.0,0.0,0.9405,0,238,0
160,8.0,0.0,0.0,0.0,0.9405,0,238,0
161,8.05,0.0,0.0,0.0,0.9405,0,238,0
162,8.1,0.0,0.0,0.0,0.9405,0,238,0
163,8.15,0.0,0.0,0.0,0.9405,0,238,0
164,8.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
165,8.25,0.0,0.0,0.0,0.9405,0,238,0
166,8.3,0.0,0.0,0.0,0.9405,0,238,0
167,8.35,0.0,0.0,0.0,0.9405,0,238,0
168,8.4,0.0,0.0,0.0,0.9405,0,238,0
169,8.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
170,8.5,0.0,0.0,0.0,0.9405,0,238,0
171,8.55,0.0,0.0,0.0,0.9405,0,238,0
172,8.6,0.0,0.0,0.0,0.9405,0,238,0
173,8.65,0.0,0.0,0.0,0.9405,0,238,0
174,8.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
175,8.75,0.0,0.0,0.0,0.9405,0,238,0
176,8.8,0.0,0.0,0.0,0.9405,0,238,0
177,8.85,0.0,0.0,0.0,0.9405,0,238,0
178,8.9,0.0,0.0,0.0,0.9405,0,238,0
179,8.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
180,9.0,0.0,0.0,0.0,0.9405,0,238,0
181,9.05,0.0,0.0,0.0,0.9405,0,238,0
182,9.1,0.0,0.0,0.0,0.9405,0,238,0
183,9.15,0.0,0.0,0.0,0.9405,0,238,0
184,9.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
185,9.25,0.0,0.0,0.0,0.9405,0,238,0
186,9.3,0.0,0.0,0.0,0.9405,0,238,0
187,9.35,0.0,0.0,0.0,0.9405,0,238,0
188,9.4,0.0,0.0,0.0,0.9405,0,238,0
189,9.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
190,9.5,0.0,0.0,0.0,0.9405,0,238,0
191,9.55,0.0,0.0,0.0,0.9405,0,238,0
192,9.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
193,9.65,0.0,0.0,0.0,0.9405,0,238,0
194,9.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
195,9.75,0.0,0.0,0.0,0.9405,0,238,0
196,9.8,0.0,0.0,0.0,0.9405,0,238,0
197,9.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
198,9.9,0.0,0.0,0.0,0.9405,0,238,0
199,9.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
200,10.0,0.0,0.0,0.0,0.9405,0,238,0
201,10.05,0.0,0.0,0.0,0.9405,0,238,0
202,10.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
203,10.15,0.0,0.0,0.0,0.9405,0,238,0
204,10.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
205,10.25,0.0,0.0,0.0,0.9405,0,238,0
206,10.3,0.0,0.0,0.0,0.9405,0,238,0
207,10.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
208,10.4,0.0,0.0,0.0,0.9405,0,238,0
209,10.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
210,10.5,0.0,0.0,0.0,0.9405,0,238,0
211,10.55,0.0,0.0,0.0,0.9405,0,238,0
212,10.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
213,10.65,0.0,0.0,0.0,0.9405,0,238,0
214,10.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
215,10.75,0.0,0.0,0.0,0.9405,0,238,0
216,10.8,0.0,0.0,0.0,0.9405,0,238,0
217,10.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
218,10.9,0.0,0.0,0.0,0.9405,0,238,0
219,10.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
220,11.0,0.0,0.0,0.0,0.9405,0,238,0
221,11.05,0.0,0.0,0.0,0.9405,0,238,0
222,11.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
223,11.15,0.0,0.0,0.0,0.9405,0,238,0
224,11.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
225,11.25,0.0,0.0,0.0,0.9405,0,238,0
226,11.3,0.0,0.0,0.0,0.9405,0,238,0
227,11.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
228,11.4,0.0,0.0,0.0,0.9405,0,238,0
229,11.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
230,11.5,0.0,0.0,0.0,0.9405,0,238,0
231,11.55,0.0,0.0,0.0,0.9405,0,238,0
232,11.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
233,11.65,0.0,0.0,0.0,0.9405,0,238,0
234,11.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
235,11.75,0.0,0.0,0.0,0.9405,0,238,0
236,11.8,0.0,0.0,0.0,0.9405,0,238,0
237,11.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
238,11.9,0.0,0.0,0.0,0.9405,0,238,0
239,11.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
240,12.0,0.0,0.0,0.0,0.9405,0,238,0
241,12.05,0.0,0.0,0.0,0.9405,0,238,0
242,12.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
243,12.15,0.0,0.0,0.0,0.9405,0,238,0
244,12.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
245,12.25,0.0,0.0,0.0,0.9405,0,238,0
246,12.3,0.0,0.0,0.0,0.9405,0,238,0
247,12.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
248,12.4,0.0,0.0,0.0,0.9405,0,238,0
249,12.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
250,12.5,0.0,0.0,0.0,0.9405,0,238,0
251,12.55,0.0,0.0,0.0,0.9405,0,238,0
252,12.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
253,12.65,0.0,0.0,0.0,0.9405,0,238,0
254,12.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
255,12.75,0.0,0.0,0.0,0.9405,0,238,0
256,12.8,0.0,0.0,0.0,0.9405,0,238,0
257,12.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
258,12.9,0.0,0.0,0.0,0.9405,0,238,0
259,12.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
260,13.0,0.0,0.0,0.0,0.9405,0,238,0
261,13.05,0.0,0.0,0.0,0.9405,0,238,0
262,13.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
263,13.15,0.0,0.0,0.0,0.9405,0,238,0
264,13.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
265,13.25,0.0,0.0,0.0,0.9405,0,238,0
266,13.3,0.0,0.0,0.0,0.9405,0,238,0
267,13.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
268,13.4,0.0,0.0,0.0,0.9405,0,238,0
269,13.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
270,13.5,0.0,0.0,0.0,0.9405,0,238,0
271,13.55,0.0,0.0,0.0,0.9405,0,238,0
272,13.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
273,13.65,0.0,0.0,0.0,0.9405,0,238,0
274,13.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
275,13.75,0.0,0.0,0.0,0.9405,0,238,0
276,13.8,0.0,0.0,0.0,0.9405,0,238,0
277,13.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
278,13.9,0.0,0.0,0.0,0.9405,0,238,0
279,13.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
280,14.0,0.0,0.0,0.0,0.9405,0,238,0
281,14.05,0.0,0.0,0.0,0.9405,0,238,0
282,14.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
283,14.15,0.0,0.0,0.0,0.9405,0,238,0
284,14.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
285,14.25,0.0,0.0,0.0,0.9405,0,238,0
286,14.3,0.0,0.0,0.0,0.9405,0,238,0
287,14.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
288,14.4,0.0,0.0,0.0,0.9405,0,238,0
289,14.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
290,14.5,0.0,0.0,0.0,0.9405,0,238,0
291,14.55,0.0,0.0,0.0,0.9405,0,238,0
292,14.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
293,14.65,0.0,0.0,0.0,0.9405,0,238,0
294,14.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
295,14.75,0.0,0.0,0.0,0.9405,0,238,0
296,14.8,0.0,0.0,0.0,0.9405,0,238,0
297,14.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
298,14.9,0.0,0.0,0.0,0.9405,0,238,0
299,14.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
300,15.0,0.0,0.0,0.0,0.9405,0,238,0
301,15.05,0.0,0.0,0.0,0.9405,0,238,0
302,15.100000000000001,0.0,0.0,0.0,0.9405,0,238,0
303,15.15,0.0,0.0,0.0,0.9405,0,238,0
304,15.200000000000001,0.0,0.0,0.0,0.9405,0,238,0
305,15.25,0.0,0.0,0.0,0.9405,0,238,0
306,15.3,0.0,0.0,0.0,0.9405,0,238,0
307,15.350000000000001,0.0,0.0,0.0,0.9405,0,238,0
308,15.4,0.0,0.0,0.0,0.9405,0,238,0
309,15.450000000000001,0.0,0.0,0.0,0.9405,0,238,0
310,15.5,0.0,0.0,0.0,0.9405,0,238,0
311,15.55,0.0,0.0,0.0,0.9405,0,238,0
312,15.600000000000001,0.0,0.0,0.0,0.9405,0,238,0
313,15.65,0.0,0.0,0.0,0.9405,0,238,0
314,15.700000000000001,0.0,0.0,0.0,0.9405,0,238,0
315,15.75,0.0,0.0,0.0,0.9405,0,238,0
316,15.8,0.0,0.0,0.0,0.9405,0,238,0
317,15.850000000000001,0.0,0.0,0.0,0.9405,0,238,0
318,15.9,0.0,0.0,0.0,0.9405,0,238,0
319,15.950000000000001,0.0,0.0,0.0,0.9405,0,238,0
320,16.0,0.0,0.0,0.0,0.9405,0,238,0
321,16.05,0.0,0.0,0.0,0.9405,0,238,0
322,16.1,0.0,0.0,0.0,0.9405,0,238,0
323,16.150000000000002,0.0,0.0,0.0,0.9405,0,238,0
324,16.2,0.0,0.0,0.0,0.9405,0,238,0
325,16.25,0.0,0.0,0.0,0.9405,0,238,0
326,16.3,0.0,0.0,0.0,0.9405,0,238,0
327,16.35,0.0,0.0,0.0,0.9405,0,238,0
328,16.400000000000002,0.0,0.0,0.0,0.9405,0,238,0
329,16.45,0.0,0.0,0.0,0.9405,0,238,0
330,16.5,0.0,0.0,0.0,0.9405,0,238,0
331,16.55,0.0,0.0,0.0,0.9405,0,238,0
332,16.6,0.0,0.0,0.0,0.9405,0,238,0
333,16.650000000000002,0.0,0.0,0.0,0.9405,0,238,0
334,16.7,0.0,0.0,0.0,0.9405,0,238,0
335,16.75,0.0,0.0,0.0,0.9405,0,238,0
336,16.8,0.0,0.0,0.0,0.9405,0,238,0
337,16.85,0.0,0.0,0.0,0.9405,0,238,0
338,16.900000000000002,0.0,0.0,0.0,0.9405,0,238,0
339,16.95,0.0,0.0,0.0,0.9405,0,238,0
340,17.0,0.0,0.0,0.0,0.9405,0,238,0
341,17.05,0.0,0.0,0.0,0.9405,0,238,0
342,17.1,0.0,0.0,0.0,0.9405,0,238,0
343,17.150000000000002,0.0,0.0,0.0,0.9405,0,238,0
344,17.2,0.0,0.0,0.0,0.9405,0,238,0
345,17.25,0.0,0.0,0.0,0.9405,0,238,0
346,17.3,0.0,0.0,0.0,0.9405,0,238,0
347,17.35,0.0,0.0,0.0,0.9405,0,238,0
348,17.400000000000002,0.0,0.0,0.0,0.9405,0,238,0
349,17.45,0.0,0.0,0.0,0.9405,0,238,0
350,17.5,0.0,0.0,0.0,0.9405,0,238,0
351,17.55,0.0,0.0,0.0,0.9405,0,238,0
352,17.6,0.0,0.0,0.0,0.9405,0,238,0
353,17.650000000000002,0.0,0.0,0.0,0.9405,0,238,0
354,17.7,0.0,0.0,0.0,0.9405,0,238,0
355,17.75,0.0,0.0,0.0,0.9405,0,238,0
356,17.8,0.0,0.0,0.0,0.9405,0,238,0
357,17.85,0.0,0.0,0.0,0.9405,0,238,0
358,17.900000000000002,0.0,0.0,0.0,0.9405,0,238,0
359,17.95,0.0,0.0,0.0,0.9405,0,238,0
360,18.0,0.0,0.0,0.0,0.9405,0,238,0
361,18.05,0.0,0.0,0.0,0.9405,0,238,0
362,18.1,0.0,0.0,0.0,0.9405,0,238,0
363,18.150000000000002,0.0,0.0,0.0,0.9405,0,238,0
364,18.2,0.0,0.0,0.0,0.9405,0,238,0
365,18.25,0.0,0.0,0.0,0.9405,0,238,0
366,18.3,0.0,0.0,0.0,0.9405,0,238,0
367,18.35,0.0,0.0,0.0,0.9405,0,238,0
368,18.400000000000002,0.0,0.0,0.0,0.9405,0,238,0
369,18.45,0.0,0.0,0.0,0.9405,0,238,0
370,18.5,0.0,0.0,0.0,0.9405,0,238,0
371,18.55,0.0,0.0,0.0,0.9405,0,238,0
372,18.6,0.0,0.0,0.0,0.9405,0,238,0
373,18.650000000000002,0.0,0.0,0.0,0.9405,0,238,0
374,18.7,0.0,0.0,0.0,0.9405,0,238,0
375,18.75,0.0,0.0,0.0,0.9405,0,238,0
376,18.8,0.0,0.0,0.0,0.9405,0,238,0
377,18.85,0.0,0.0,0.0,0.9405,0,238,0
378,18.900000000000002,0.0,0.0,0.0,0.9405,0,238,0
379,18.95,0.0,0.0,0.0,0.9405,0,238,0
380,19.0,0.0,0.0,0.0,0.9405,0,238,0
381,19.05,0.0,0.0,0.0,0.9405,0,238,0
382,19.1,0.0,0.0,0.0,0.9405,0,238,0
383,19.150000000000002,0.0,0.0,0.0,0.9405,0,238,0
384,19.200000000000003,0.0,0.0,0.0,0.9405,0,238,0
385,19.25,0.0,0.0,0.0,0.9405,0,238,0
386,19.3,0.0,0.0,0.0,0.9405,0,238,0
387,19.35,0.0,0.0,0.0,0.9405,0,238,0
388,19.400000000000002,0.0,0.0,0.0,0.9405,0,238,0
389,19.450000000000003,0.0,0.0,0.0,0.9405,0,238,0
390,19.5,0.0,0.0,0.0,0.9405,0,238,0
